ID,Gênero ,Raça,Idade,"Nível de escolaridade
",Situação Profissional ,"Possui filhos?  (Insira o número, no caso de não possuir colocar o número zero)",Renda,Muito obrigado por fazer parte da nossa pesquisa utilize este espaço para deixar seus comentários e sugestões 
79,Masculino,Branca,18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
80,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
81,Feminino,Branca,65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
82,Feminino,Negra ( pretos e pardos),65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,3,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
83,Feminino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
84,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
85,Masculino,Branca,18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
86,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
87,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
88,Masculino,Branca,25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
89,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
90,Masculino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
91,Feminino,Branca,25–49 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
92,Masculino,Negra ( pretos e pardos),18–24 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
93,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
94,Feminino,Branca,25–49 anos,Graduação (completo ou incompleto),Estudante,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
95,Feminino,Negra ( pretos e pardos),18–24 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
96,Feminino,Branca,25–49 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,Fica impossivel usar transporte publico tendo filhos pra levar pra escola
97,Masculino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
98,Feminino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
99,Feminino,Branca,Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
100,Masculino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
101,Masculino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
102,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,3,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
103,Feminino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,1,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
104,Feminino,Branca,65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
105,Feminino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,3,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
106,Masculino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
107,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
108,Feminino,Branca,25–49 anos,"Pós-graduação (Especialização; MBA; Mestrado; Doutorado, seja completo ou incompleto)",Empregado (carteira assinada ou autônomo),1,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
109,Feminino,Indígena,25–49 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
110,Masculino,Negra ( pretos e pardos),50–64 anos,Ensino Médio (completo ou incompleto),Motorista de Aplicativo,1,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
111,Feminino,Negra ( pretos e pardos),50–64 anos,Fundamental (completo ou incompleto),Desempregado,4,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
112,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
113,Feminino,Branca,25–49 anos,Ensino Médio (completo ou incompleto),Desempregado,2,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
114,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
115,Feminino,Branca,50–64 anos,Fundamental (completo ou incompleto),Desempregado,3,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
116,Masculino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
117,Masculino,Branca,65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
118,Masculino,Negra ( pretos e pardos),65 anos ou mais,Ensino Médio (completo ou incompleto),Aposentado,3,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
119,Feminino,Negra ( pretos e pardos),65 anos ou mais,Ensino Médio (completo ou incompleto),Aposentado,2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
120,Feminino,Negra ( pretos e pardos),65 anos ou mais,Fundamental (completo ou incompleto),Desempregado,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
121,Masculino,Branca,18–24 anos,Graduação (completo ou incompleto),Desempregado,0,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
122,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,1,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
123,Feminino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
124,Masculino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Desempregado,1,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
125,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
126,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
127,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
128,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
